price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,in_polygon,finca_raiz_id
550000000,Carrera 5#128,4.7044788932741,-74.026059858064,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191590573,4,No reporta,3,123.0,123.0,más de 30 años,3,2,1230000.0,3.0,0,191590573
957000000,TRANSVERSAL 18A   97- 10,4.6840854,-74.0516806,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11031639,5,No reporta,3,174.0,174.0,más de 30 años,3,1,1015000.0,No reporta,0,11031639
418000000,Transversal 5 # 82 - 42,4.6697327632444,-74.0435517739442,"El refugio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10799947,6,No reporta,1,37.0,37.0,1 a 8 años,1,1,360000.0,2.0,0,10799947
1195000000,Dg. 75 2-36,4.655873,-74.050529,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11025727,6,No reporta,3,169.7,169.7,16 a 30 años,3,3,1405000.0,4.0,0,11025727
4620000000,CL 95 7 59,4.6763497421899,-74.041074887321,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191302814,6,No reporta,4,308.0,308.0,1 a 8 años,3,4,1420000.0,No reporta,0,191302814
310000000,Carrera 9 # 64 - 43,4.649809992243,-74.060850000969,"Chapinero norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10793732,4,No reporta,1,45.0,45.0,más de 30 años,2,1,600000.0,2.0,0,10793732
1250000000,Carrera 58 C #147 -36,4.735310936689,-74.063296929963,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191311160,5,No reporta,4,137.0,137.0,menor a 1 año,3,2,550000.0,4.0,0,191311160
180000000,Carrera 93d,4.6519576,-74.1617222,"Tintala, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191376917,2,No reporta,2,56.0,56.0,9 a 15 años,3,1,130000.0,No reporta,0,191376917
670000000,Cra. 16 103-24,4.688326,-74.048235,"Chicó Navarra, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11025711,6,No reporta,2,66.0,66.0,1 a 8 años,1,1,445000.0,11.0,0,11025711
980000000,CALLE 126   11B- 91,4.7032549,-74.0422426,"Unicentro Bogotá, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191297778,5,No reporta,3,169.0,169.0,más de 30 años,3,2,590000.0,No reporta,0,191297778
2530000000,CALLE 79   9- 67,4.6626778,-74.0533374,"El nogal, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191303961,6,No reporta,6,413.0,413.0,16 a 30 años,4,2,1800000.0,No reporta,0,191303961
1500000000,Carrera 36a,4.6487891,-74.0810767,"Nicolas de federman, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11080647,4,No reporta,4,251.0,251.0,9 a 15 años,4,3,990000.0,5.0,1,11080647
200000000,Carrera 116,4.759225,-74.1015568,"Suba Compartir, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11083660,3,No reporta,1,41.0,41.0,menor a 1 año,2,1,170000.0,No reporta,0,11083660
1120000000,"Calle 105 #17a-24, Bogotá, Colombia",4.6912216,-74.0494966,"San patricio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10635875,5,No reporta,3,146.0,146.0,9 a 15 años,3,3,780000.0,2.0,0,10635875
